,ntaname,borough,area,health,trees/sq.mile,avg.landprice_thous$/acre,avg.propvalue_thous$/acre,properties/sq.mile
174,turtle bay-east midtown,manhattan,0.62,13.47,3466.13,409.35,4002.14,15248.09
175,university heights-morris heights,bronx,0.76,13.52,2607.43,43.47,962.25,2086.73
177,upper west side,manhattan,1.23,13.92,4553.97,198.67,1893.48,9602.58
178,van cortlandt village,bronx,0.92,14.01,2427.64,56.29,1221.61,1494.6
179,van nest-morris park-westchester square,bronx,1.3,14.35,2304.62,37.22,717.6,3047.22
180,washington heights north,manhattan,0.81,13.03,2964.04,168.91,2152.37,1504.16
181,washington heights south,manhattan,0.83,13.17,3253.49,135.0,2650.48,2123.52
182,west brighton,brooklyn,0.31,13.16,1464.3,44.96,521.93,4533.27
183,west concourse,bronx,0.7,13.44,2846.85,322.25,6467.83,799.82
184,west farms-bronx river,bronx,0.54,14.04,2866.39,29.14,588.18,3977.09
185,west new brighton-new brighton-st. george,staten island,2.01,14.03,1868.83,24.99,469.32,2988.83
186,west village,manhattan,0.9,13.36,4102.94,257.11,3361.38,8562.03
187,westchester-unionport,bronx,0.86,14.17,3153.97,26.68,561.6,3679.06
188,westerleigh,staten island,2.27,14.41,2134.93,24.63,487.24,3249.12
189,whitestone,queens,2.48,14.44,2929.12,26.99,846.04,3206.49
190,williamsbridge-olinville,bronx,1.3,14.11,2371.0,19.38,506.51,5387.6
191,williamsburg,brooklyn,0.42,14.38,3836.59,16.89,501.78,7740.53
192,windsor terrace,brooklyn,0.5,14.1,4030.37,20.11,1012.04,6815.9
193,woodhaven,queens,1.33,14.12,2980.69,18.38,497.9,6812.8
194,woodlawn-wakefield,bronx,1.43,14.25,2667.26,16.15,457.65,4944.46
195,woodside,queens,1.01,13.8,2575.83,42.71,742.72,4756.9
196,yorkville,manhattan,0.49,13.12,4371.74,162.71,1560.41,15765.3
